Season,RankingDayNum,SystemName,TeamID,OrdinalRank
2024,133,7OT,1101,240
2024,133,7OT,1102,253
2024,133,7OT,1103,56
2024,133,7OT,1104,5
2024,133,7OT,1105,356
2024,133,7OT,1106,330
2024,133,7OT,1107,247
2024,133,7OT,1108,310
2024,133,7OT,1110,292
2024,133,7OT,1111,87
2024,133,7OT,1112,3
2024,133,7OT,1113,149
2024,133,7OT,1114,184
2024,133,7OT,1115,351
2024,133,7OT,1116,129
2024,133,7OT,1117,112
2024,133,7OT,1119,332
2024,133,7OT,1120,6
2024,133,7OT,1122,209
2024,133,7OT,1123,284
2024,133,7OT,1124,20
2024,133,7OT,1125,91
2024,133,7OT,1126,327
2024,133,7OT,1127,236
2024,133,7OT,1129,34
2024,133,7OT,1130,139
2024,133,7OT,1131,270
2024,133,7OT,1132,204
2024,133,7OT,1133,32
2024,133,7OT,1135,177
2024,133,7OT,1136,168
2024,133,7OT,1137,233
2024,133,7OT,1138,324
2024,133,7OT,1139,135
2024,133,7OT,1140,49
2024,133,7OT,1141,269
2024,133,7OT,1142,350
2024,133,7OT,1143,165
2024,133,7OT,1144,288
2024,133,7OT,1145,173
2024,133,7OT,1146,357
2024,133,7OT,1148,254
2024,133,7OT,1149,307
2024,133,7OT,1150,72
2024,133,7OT,1151,170
2024,133,7OT,1152,323
2024,133,7OT,1153,82
2024,133,7OT,1154,305
2024,133,7OT,1155,27
2024,133,7OT,1156,174
2024,133,7OT,1157,299
2024,133,7OT,1158,52
2024,133,7OT,1159,121
2024,133,7OT,1160,38
2024,133,7OT,1161,9
2024,133,7OT,1162,229
2024,133,7OT,1163,10
2024,133,7OT,1164,362
2024,133,7OT,1165,104
2024,133,7OT,1166,33
2024,133,7OT,1167,263
2024,133,7OT,1168,214
2024,133,7OT,1169,260
2024,133,7OT,1170,289
2024,133,7OT,1171,318
2024,133,7OT,1172,88
2024,133,7OT,1173,4
2024,133,7OT,1174,180
2024,133,7OT,1175,303
2024,133,7OT,1176,298
2024,133,7OT,1177,290
2024,133,7OT,1178,348
2024,133,7OT,1179,22
2024,133,7OT,1180,143
2024,133,7OT,1181,26
2024,133,7OT,1182,19
2024,133,7OT,1183,291
2024,133,7OT,1184,155
2024,133,7OT,1185,328
2024,133,7OT,1186,211
2024,133,7OT,1187,140
2024,133,7OT,1188,262
2024,133,7OT,1189,306
2024,133,7OT,1190,187
2024,133,7OT,1191,222
2024,133,7OT,1192,346
2024,133,7OT,1193,153
2024,133,7OT,1194,15
2024,133,7OT,1195,285
2024,133,7OT,1196,23
2024,133,7OT,1197,329
2024,133,7OT,1198,275
2024,133,7OT,1199,83
2024,133,7OT,1200,189
2024,133,7OT,1201,250
2024,133,7OT,1202,156
2024,133,7OT,1203,215
2024,133,7OT,1204,295
2024,133,7OT,1205,176
2024,133,7OT,1206,78
2024,133,7OT,1207,243
2024,133,7OT,1208,69
2024,133,7OT,1209,246
2024,133,7OT,1210,148
2024,133,7OT,1211,13
2024,133,7OT,1212,238
2024,133,7OT,1213,51
2024,133,7OT,1214,335
2024,133,7OT,1217,191
2024,133,7OT,1218,161
2024,133,7OT,1219,57
2024,133,7OT,1220,64
2024,133,7OT,1221,345
2024,133,7OT,1222,2
2024,133,7OT,1223,355
2024,133,7OT,1224,276
2024,133,7OT,1225,283
2024,133,7OT,1226,282
2024,133,7OT,1227,166
2024,133,7OT,1228,8
2024,133,7OT,1229,216
2024,133,7OT,1230,354
2024,133,7OT,1231,101
2024,133,7OT,1232,36
2024,133,7OT,1233,167
2024,133,7OT,1234,81
2024,133,7OT,1235,18
2024,133,7OT,1236,202
2024,133,7OT,1237,360
2024,133,7OT,1238,336
2024,133,7OT,1239,309
2024,133,7OT,1240,249
2024,133,7OT,1241,100
2024,133,7OT,1242,16
2024,133,7OT,1243,107
2024,133,7OT,1244,315
2024,133,7OT,1245,133
2024,133,7OT,1246,35
2024,133,7OT,1247,201
2024,133,7OT,1248,301
2024,133,7OT,1249,259
2024,133,7OT,1250,265
2024,133,7OT,1251,93
2024,133,7OT,1252,239
2024,133,7OT,1253,248
2024,133,7OT,1254,347
2024,133,7OT,1255,163
2024,133,7OT,1256,54
2024,133,7OT,1257,286
2024,133,7OT,1258,178
2024,133,7OT,1259,339
2024,133,7OT,1260,102
2024,133,7OT,1261,134
2024,133,7OT,1262,162
2024,133,7OT,1263,234
2024,133,7OT,1264,319
2024,133,7OT,1265,203
2024,133,7OT,1266,30
2024,133,7OT,1267,208
2024,133,7OT,1268,138
2024,133,7OT,1269,53
2024,133,7OT,1270,58
2024,133,7OT,1271,358
2024,133,7OT,1272,80
2024,133,7OT,1273,186
2024,133,7OT,1274,131
2024,133,7OT,1275,241
2024,133,7OT,1276,113
2024,133,7OT,1277,21
2024,133,7OT,1278,146
2024,133,7OT,1279,99
2024,133,7OT,1280,25
2024,133,7OT,1281,194
2024,133,7OT,1282,227
2024,133,7OT,1283,154
2024,133,7OT,1284,218
2024,133,7OT,1285,123
2024,133,7OT,1286,185
2024,133,7OT,1287,115
2024,133,7OT,1288,325
2024,133,7OT,1290,361
2024,133,7OT,1291,217
2024,133,7OT,1292,198
2024,133,7OT,1293,118
2024,133,7OT,1294,225
2024,133,7OT,1295,251
2024,133,7OT,1296,252
2024,133,7OT,1297,206
2024,133,7OT,1298,334
2024,133,7OT,1299,321
2024,133,7OT,1300,300
2024,133,7OT,1301,137
2024,133,7OT,1303,266
2024,133,7OT,1304,42
2024,133,7OT,1305,40
2024,133,7OT,1306,258
2024,133,7OT,1307,12
2024,133,7OT,1308,220
2024,133,7OT,1309,338
2024,133,7OT,1310,296
2024,133,7OT,1311,219
2024,133,7OT,1312,331
